                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.0134,                0.59674,                0.98727,                0.77564,                0.69695,                0.74274,                0.52063,                 1.1983,                0.66357,                 1.1082,             0.00077041,             0.00077041,             0.00077041
                     79,                0.98913,                0.59548,                0.98753,                0.76697,                0.67721,                0.73712,                0.51881,                 1.1866,                0.66955,                 1.1025,             0.00076861,             0.00076861,             0.00076861
                     80,                 1.0007,                0.58926,                0.99183,                0.73387,                0.70349,                 0.7425,                0.52229,                 1.2368,                0.68173,                   1.12,             0.00076681,             0.00076681,             0.00076681
                     81,                0.96996,                0.57646,                0.98382,                0.74331,                0.75607,                  0.776,                0.53078,                 1.1832,                0.65795,                 1.1038,             0.00076501,             0.00076501,             0.00076501
                     82,                0.97543,                0.57602,                0.98575,                 0.7858,                 0.7206,                0.78814,                0.54089,                 1.2045,                0.64778,                 1.1073,             0.00076321,             0.00076321,             0.00076321
                     83,                0.97408,                0.57122,                0.97895,                0.75266,                0.71143,                0.76589,                0.53102,                 1.2046,                0.65999,                 1.1039,             0.00076141,             0.00076141,             0.00076141
                     84,                0.96081,                0.57533,                0.97556,                0.88625,                0.67604,                0.75915,                0.51977,                 1.2138,                0.66622,                 1.1145,             0.00075961,             0.00075961,             0.00075961
                     85,                0.98018,                0.56997,                0.97861,                0.81308,                0.69308,                0.75134,                0.51332,                 1.2233,                 0.6815,                 1.1138,             0.00075782,             0.00075782,             0.00075782
                     86,                0.96542,                0.58353,                0.97448,                0.72099,                0.72969,                0.74699,                0.50843,                 1.1998,                0.67852,                 1.0963,             0.00075602,             0.00075602,             0.00075602
                     87,                0.96966,                0.57168,                0.97749,                0.86627,                0.68332,                0.74756,                0.49476,                 1.2053,                0.67576,                 1.1051,             0.00075422,             0.00075422,             0.00075422
                     88,                0.96947,                0.56873,                0.98099,                0.67416,                0.74326,                 0.7436,                0.50551,                    1.2,                0.67967,                 1.1157,             0.00075242,             0.00075242,             0.00075242
                     89,                 0.9679,                0.57317,                0.97994,                0.89833,                0.68735,                0.76738,                0.52396,                 1.1833,                0.65603,                 1.1026,             0.00075062,             0.00075062,             0.00075062
                     90,                0.96813,                0.57704,                0.97258,                0.68961,                0.73278,                0.74251,                0.50261,                 1.1999,                0.65964,                 1.1015,             0.00074882,             0.00074882,             0.00074882
                     91,                0.96022,                0.56869,                0.96861,                0.75047,                0.73373,                0.75602,                0.51417,                 1.2363,                0.68523,                 1.1228,             0.00074702,             0.00074702,             0.00074702
                     92,                0.95856,                0.57719,                0.97065,                0.86303,                0.71173,                0.76611,                0.53081,                 1.1896,                0.65758,                  1.105,             0.00074522,             0.00074522,             0.00074522
                     93,                0.95413,                0.56595,                 0.9774,                0.68039,                0.71012,                 0.7453,                0.53004,                 1.1753,                0.64837,                 1.0946,             0.00074342,             0.00074342,             0.00074342
                     94,                0.95256,                0.56668,                0.96861,                 0.9019,                 0.6887,                0.77539,                0.52891,                 1.2063,                0.67201,                 1.1102,             0.00074162,             0.00074162,             0.00074162
                     95,                0.92539,                0.55202,                0.96619,                 0.8675,                 0.7291,                 0.7769,                0.52602,                   1.18,                0.64322,                 1.0911,             0.00073982,             0.00073982,             0.00073982
                     96,                0.95819,                0.56733,                0.97187,                0.78899,                0.75315,                0.76631,                0.53622,                 1.1732,                0.64905,                 1.0991,             0.00073802,             0.00073802,             0.00073802
                     97,                0.92785,                0.55622,                 0.9548,                0.80883,                0.70674,                0.76592,                0.53974,                 1.1802,                0.65342,                 1.1013,             0.00073622,             0.00073622,             0.00073622
                     98,                0.92363,                0.55656,                0.95518,                0.77958,                0.76128,                0.77105,                0.53784,                 1.1732,                0.65687,                 1.1085,             0.00073442,             0.00073442,             0.00073442
                     99,                0.93291,                 0.5534,                0.96385,                0.87179,                0.65249,                0.75854,                0.52236,                 1.2154,                0.69551,                 1.1214,             0.00073262,             0.00073262,             0.00073262
                    100,                0.91885,                 0.5543,                0.95432,                0.80549,                0.72658,                0.77695,                0.53965,                 1.1864,                0.65733,                 1.1033,             0.00073082,             0.00073082,             0.00073082
                    101,                0.92547,                0.54857,                 0.9546,                0.81619,                0.75969,                0.79656,                0.54755,                 1.1885,                0.68024,                 1.1057,             0.00072902,             0.00072902,             0.00072902
                    102,                0.90694,                0.53804,                0.95702,                0.72202,                0.74465,                0.77556,                0.54616,                 1.1687,                0.64055,                 1.1017,             0.00072722,             0.00072722,             0.00072722
                    103,                0.91503,                0.53755,                0.95118,                0.73207,                0.71332,                0.75434,                0.52925,                  1.195,                0.66437,                 1.1204,             0.00072542,             0.00072542,             0.00072542
                    104,                0.92247,                0.54348,                0.96373,                0.79313,                0.69892,                0.77307,                0.52908,                 1.1886,                0.68292,                 1.1191,             0.00072362,             0.00072362,             0.00072362
                    105,                0.89953,                0.52876,                0.96293,                 0.8657,                0.73667,                0.79333,                0.54197,                 1.1795,                0.68663,                 1.1101,             0.00072182,             0.00072182,             0.00072182
                    106,                0.92301,                0.53108,                0.95316,                0.83976,                0.72973,                0.76864,                0.53394,                 1.1747,                0.64456,                 1.1068,             0.00072002,             0.00072002,             0.00072002
                    107,                 0.9055,                0.52612,                0.94509,                0.87405,                0.70055,                0.77337,                0.52819,                 1.1761,                0.64282,                 1.1084,             0.00071822,             0.00071822,             0.00071822
                    108,                0.89754,                0.53435,                0.94764,                0.73446,                  0.773,                0.79094,                0.54053,                 1.1759,                0.64276,                 1.1079,             0.00071642,             0.00071642,             0.00071642
                    109,                0.90877,                0.53628,                0.96096,                0.75004,                0.73258,                0.78286,                0.54541,                 1.1779,                0.65404,                 1.1102,             0.00071462,             0.00071462,             0.00071462
                    110,                0.90912,                0.53181,                0.95272,                0.78253,                 0.7228,                0.77768,                0.55098,                 1.1787,                0.64254,                 1.1095,             0.00071282,             0.00071282,             0.00071282
                    111,                  0.903,                0.53475,                0.95881,                0.77405,                0.70211,                 0.7716,                0.52222,                 1.1861,                 0.6504,                  1.115,             0.00071102,             0.00071102,             0.00071102
                    112,                  0.894,                0.52348,                0.95262,                0.85408,                0.67207,                0.77492,                0.52968,                 1.2018,                0.64112,                 1.1324,             0.00070922,             0.00070922,             0.00070922
                    113,                0.90062,                0.53469,                0.95691,                0.74477,                0.70862,                 0.7393,                0.50584,                  1.181,                0.65947,                 1.1246,             0.00070742,             0.00070742,             0.00070742
                    114,                0.89053,                0.52325,                0.94713,                0.86621,                0.72355,                0.77992,                0.54024,                 1.2032,                0.66009,                 1.1302,             0.00070562,             0.00070562,             0.00070562
                    115,                0.90354,                0.53052,                0.95219,                0.82693,                0.67451,                0.76853,                0.53331,                 1.1779,                0.63871,                 1.1081,             0.00070382,             0.00070382,             0.00070382
                    116,                0.89072,                0.52654,                0.95677,                0.86825,                 0.6448,                0.74152,                0.51954,                 1.1892,                 0.6745,                 1.1053,             0.00070202,             0.00070202,             0.00070202
                    117,                0.89546,                0.53323,                0.94623,                0.87722,                0.62182,                0.73729,                0.51643,                 1.1815,                0.67971,                  1.105,             0.00070022,             0.00070022,             0.00070022
                    118,                0.88307,                0.52663,                0.94887,                 0.8251,                0.68954,                0.75102,                0.52175,                 1.1748,                 0.6449,                 1.1131,             0.00069842,             0.00069842,             0.00069842
                    119,                0.86276,                0.51593,                0.93433,                0.91017,                0.68369,                0.78929,                0.51366,                 1.2184,                0.67032,                 1.1317,             0.00069662,             0.00069662,             0.00069662
                    120,                0.87664,                0.51909,                0.94741,                0.88817,                0.70484,                0.78835,                0.54649,                 1.1768,                0.66622,                 1.1125,             0.00069482,             0.00069482,             0.00069482
                    121,                0.87932,                0.51418,                0.93779,                0.87405,                0.66911,                0.76343,                0.53958,                  1.176,                0.66889,                 1.1231,             0.00069302,             0.00069302,             0.00069302
